date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:39	51279/51279	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d1-c84f%22	http://templates.scriptsbundle.com/whitehat/index.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/index-2.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:39	4881/4881	---M--	200	added ('OK')	image/png	etag:%22586267fa-1311%22	http://templates.scriptsbundle.com/whitehat/images/logo.png	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/images/logo.png	(from http://templates.scriptsbundle.com/whitehat/)
15:05:40	40976/40976	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69cd-a010%22	http://templates.scriptsbundle.com/whitehat/index2.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/index2.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:40	44585/44585	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d0-ae29%22	http://templates.scriptsbundle.com/whitehat/index3.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/index3.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:40	36048/36048	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69dd-8cd0%22	http://templates.scriptsbundle.com/whitehat/about.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/about.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:41	20107/20107	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69cd-4e8b%22	http://templates.scriptsbundle.com/whitehat/case-studies.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/case-studies.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:41	24585/24585	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d8-6009%22	http://templates.scriptsbundle.com/whitehat/case-studies-detail.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/case-studies-detail.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:41	33484/33484	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69cb-82cc%22	http://templates.scriptsbundle.com/whitehat/product-list.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/product-list.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:42	37051/37051	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69cb-90bb%22	http://templates.scriptsbundle.com/whitehat/product-single.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/product-single.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:42	25039/25039	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69db-61cf%22	http://templates.scriptsbundle.com/whitehat/blog.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/blog.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:42	28641/28641	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d9-6fe1%22	http://templates.scriptsbundle.com/whitehat/blog2.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/blog2.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:43	29608/29608	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69db-73a8%22	http://templates.scriptsbundle.com/whitehat/blog-single.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/blog-single.html	(from http://templates.scriptsbundle.com/whitehat/)
15:05:43	22819/22819	---MCZ	200	added ('OK')	text/html	etag:W/%22587c69d4-5923%22	http://templates.scriptsbundle.com/whitehat/services.html	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/services.html	(from http://templates.scriptsbundle.com/whitehat/)
